City,Date,Average Temperature,Max Temperature,Min Temperature,Average Wind Speed,Total Precipitation,Max Snow Depth
Бережани,7.2020,+18.8 °,+28.9°,+8.8°,1.3 м/с,87.7 мм,-
Бережани,8.2020,+20.1 °,+33°,+9.1°,1.3 м/с,12 мм,-
Бережани,9.2020,+15.3 °,+29.4°,+2.8°,1.2 м/с,110.7 мм,-
Бережани,10.2020,+11.4 °,+21.6°,+1°,1.5 м/с,79.4 мм,-
Бережани,11.2020,+4.3 °,+12.6°,-5.4°,1.5 м/с,13.8 мм,1 см
Бережани,12.2020,+1.1 °,+11.2°,-6.1°,2.9 м/с,33.3 мм,2 см
Бобринець,1.2020,+0.4 °,+7°,-6.3°,2.2 м/с,13.5 мм,-
Бобринець,2.2020,+2 °,+13.6°,-10.6°,3.6 м/с,47.6 мм,2 см
Бобринець,3.2020,+6.9 °,+19.6°,-5°,3.1 м/с,20.3 мм,-
Бобринець,4.2020,+9.5 °,+22.8°,-7.2°,3.3 м/с,7.8 мм,-
Бобринець,5.2020,+13.7 °,+25.6°,+3.4°,2.6 м/с,62.7 мм,-
Бобринець,6.2020,+21.9 °,+34.6°,+6.7°,2.1 м/с,41.8 мм,-
Бобринець,7.2020,+23 °,+36.3°,+11.8°,1.9 м/с,96.3 мм,-
Бобринець,8.2020,+22.5 °,+34.4°,+8.4°,1.9 м/с,2.8 мм,-
Бобринець,9.2020,+19.1 °,+35.5°,+3.5°,2 м/с,91.5 мм,-
Бобринець,10.2020,+13.6 °,+24°,+1.2°,2 м/с,10.8 мм,-
Бобринець,11.2020,+4 °,+13.5°,-3.1°,1.8 м/с,14 мм,-
Бобринець,12.2020,-0 °,+10.6°,-9.4°,2.6 м/с,32.8 мм,2 см
Богодухів,1.2020,-0.5 °,+4.9°,-9.5°,3.1 м/с,26.8 мм,4 см
Богодухів,2.2020,0 °,+9.4°,-15.7°,4 м/с,51 мм,11 см
Богодухів,3.2020,+6.5 °,+19.8°,-5.8°,4.2 м/с,16 мм,1 см
Богодухів,4.2020,+8.2 °,+21.8°,-6.8°,4.5 м/с,14.1 мм,-
Богодухів,5.2020,+13.1 °,+23.5°,+4°,3.5 м/с,153.7 мм,-
Богодухів,6.2020,+21.8 °,+32.1°,+9.2°,3.4 м/с,32.1 мм,-
Богодухів,7.2020,+21.8 °,+34.4°,+12°,2.8 м/с,94 мм,-
Богодухів,8.2020,+20.4 °,+32°,+9°,2.9 м/с,7.2 мм,-
Богодухів,9.2020,+18.3 °,+34.1°,+3.8°,3.5 м/с,9.1 мм,-
Богодухів,10.2020,+12.1 °,+22.9°,+0.4°,3.5 м/с,24.5 мм,-
Богодухів,11.2020,+2.5 °,+11.1°,-6.1°,3.1 м/с,50.6 мм,8 см
Богодухів,12.2020,-3 °,+3°,-11.7°,4.2 м/с,30.3 мм,9 см
Броди,1.2020,+1.1 °,+9.5°,-11°,1.7 м/с,30.3 мм,3 см
Броди,2.2020,+2.7 °,+12.3°,-12.8°,3 м/с,58.9 мм,7 см
Броди,3.2020,+4.6 °,+18°,-8.4°,2.3 м/с,22.7 мм,1 см
Броди,4.2020,+8.2 °,+24.7°,-7.1°,2.3 м/с,10 мм,-
Броди,5.2020,+11.3 °,+26.3°,-2°,2.7 м/с,135.4 мм,-
Броди,6.2020,+19 °,+30.3°,+4.2°,2.3 м/с,97.8 мм,-
Броди,7.2020,+18.9 °,+29.8°,+8.3°,1.6 м/с,166.3 мм,-
Броди,8.2020,+19.8 °,+32.8°,+7.1°,1.8 м/с,61.7 мм,-
Броди,9.2020,+15.2 °,+29.8°,+1.1°,1.7 м/с,90.2 мм,-
Броди,10.2020,+11.5 °,+21.7°,+2.8°,1.9 м/с,60.5 мм,-
Броди,11.2020,+4.7 °,+13.5°,-7.4°,1.7 м/с,13.8 мм,1 см
Броди,12.2020,+1.6 °,+11.3°,-7°,2.9 м/с,27.3 мм,1 см
Велика Олександрівка,1.2020,+0.6 °,+9.5°,-7.9°,1.5 м/с,19.4 мм,1 см
Велика Олександрівка,2.2020,+2.3 °,+15.3°,-14.3°,2.4 м/с,65.3 мм,2 см
Велика Олександрівка,3.2020,+7.6 °,+21.4°,-5.1°,2.2 м/с,14.9 мм,-
Велика Олександрівка,4.2020,+9.8 °,+23.4°,-4.8°,2.1 м/с,5.7 мм,-
Велика Олександрівка,5.2020,+14.6 °,+25.7°,+4.2°,1.6 м/с,82.3 мм,-
Велика Олександрівка,6.2020,+22.5 °,+34.1°,+8.3°,1.4 м/с,57.9 мм,-
Велика Олександрівка,7.2020,+24.7 °,+37.4°,+12.3°,1.5 м/с,14.2 мм,-
Велика Олександрівка,8.2020,+23.3 °,+36.2°,+9.8°,1.4 м/с,7.8 мм,-
Велика Олександрівка,9.2020,+20.1 °,+36.1°,+3.9°,1.6 м/с,107.8 мм,-
Велика Олександрівка,10.2020,+14.8 °,+25°,+2.6°,1.7 м/с,20.3 мм,-
Велика Олександрівка,11.2020,+4.5 °,+14°,-3.6°,1.5 м/с,10.8 мм,-
Велика Олександрівка,12.2020,+0.8 °,+11.2°,-8°,2.5 м/с,28.2 мм,1 см
Великий Бурлук,1.2020,-0.6 °,+5.1°,-11°,2.7 м/с,24.1 мм,3 см
Великий Бурлук,2.2020,-0.7 °,+11.1°,-18.1°,3.4 м/с,71.3 мм,17 см
Великий Бурлук,3.2020,+5.7 °,+19.3°,-7.4°,4.1 м/с,20.9 мм,2 см
Великий Бурлук,4.2020,+7.9 °,+21.4°,-6.1°,4.8 м/с,8.4 мм,2 см
Великий Бурлук,5.2020,+13.2 °,+24.5°,+2.5°,3.7 м/с,117.9 мм,-
Великий Бурлук,6.2020,+21.4 °,+33.5°,+11.1°,3.3 м/с,80.5 мм,-
Великий Бурлук,7.2020,+22 °,+35.9°,+10.9°,2.7 м/с,57 мм,-
Великий Бурлук,8.2020,+20.4 °,+32.3°,+9°,2.7 м/с,18 мм,-
Великий Бурлук,9.2020,+17.2 °,+33.7°,+0.3°,3.9 м/с,0.3 мм,-
Великий Бурлук,10.2020,+12.2 °,+23.7°,+0.6°,4 м/с,16.3 мм,-
Великий Бурлук,11.2020,+1.6 °,+11.1°,-10.1°,3.5 м/с,48.4 мм,9 см
Великий Бурлук,12.2020,-4 °,+1.3°,-12.2°,3.8 м/с,28 мм,5 см
Веселий Поділ,1.2020,+0.6 °,+5.2°,-5.8°,2.6 м/с,23.3 мм,1 см
Веселий Поділ,2.2020,+1.5 °,+9.8°,-12.7°,3.2 м/с,48.4 мм,3 см
Веселий Поділ,3.2020,+6.7 °,+18.4°,-6.1°,3.3 м/с,19.5 мм,-
Веселий Поділ,4.2020,+9 °,+22.4°,-6.8°,3.9 м/с,10 мм,-
Веселий Поділ,5.2020,+13.2 °,+25°,+1.5°,2.4 м/с,138.7 мм,-
Веселий Поділ,6.2020,+21.8 °,+31.9°,+6.2°,1.9 м/с,45.3 мм,-
Веселий Поділ,7.2020,+21.9 °,+35.6°,+11.4°,1.9 м/с,45.3 мм,-
Веселий Поділ,8.2020,+21 °,+33°,+9.5°,2 м/с,19 мм,-
Веселий Поділ,9.2020,+17.7 °,+33.9°,+2.9°,2.4 м/с,25.4 мм,-
Веселий Поділ,10.2020,+12.6 °,+22.4°,+0.2°,2.2 м/с,22.7 мм,-
Веселий Поділ,11.2020,+3.6 °,+13.3°,-4.5°,2.1 м/с,18 мм,1 см
Веселий Поділ,12.2020,-1.2 °,+5.7°,-9.6°,3.2 м/с,34.3 мм,5 см
Вінниця,1.2020,+0.2 °,+7°,-6.9°,4.7 м/с,16.2 мм,4 см
Вінниця,2.2020,+1.8 °,+11°,-9.9°,4.6 м/с,39.8 мм,5 см
Вінниця,3.2020,+5.2 °,+17.7°,-7.4°,3.8 м/с,18.1 мм,1 см
Вінниця,4.2020,+9.2 °,+22.2°,-4.6°,3.9 м/с,32.1 мм,-
Вінниця,5.2020,+11.6 °,+26.3°,+1.5°,3.8 м/с,152.3 мм,-
Вінниця,6.2020,+20.2 °,+30.9°,+4.8°,2.9 м/с,66.7 мм,-
Вінниця,7.2020,+20.4 °,+31°,+9.7°,2.9 м/с,27.8 мм,-
Вінниця,8.2020,+20.4 °,+32.7°,+8.9°,2.9 м/с,28.4 мм,-
Вінниця,9.2020,+17.3 °,+32.3°,+5°,3.3 м/с,47.1 мм,-
Вінниця,10.2020,+12.3 °,+21.2°,+3.3°,3.3 м/с,75.7 мм,-
Вінниця,11.2020,+3.5 °,+9.6°,-4.6°,3.1 м/с,26.3 мм,-
Вінниця,12.2020,-0.1 °,+7.9°,-8°,4.1 м/с,37.7 мм,4 см
Володимир,1.2020,+1.2 °,+8.2°,-5.1°,2.8 м/с,30.1 мм,2 см
Володимир,2.2020,+2.9 °,+13.2°,-5.7°,3.1 м/с,42.5 мм,1 см
Володимир,3.2020,+4.4 °,+17.4°,-6.5°,2.6 м/с,26.3 мм,4 см
Володимир,4.2020,+8.3 °,+23.4°,-4°,2.5 м/с,2 мм,-
Володимир,5.2020,+11.8 °,+26.2°,+0.1°,2.6 м/с,88.7 мм,-
Володимир,6.2020,+19.4 °,+30.4°,+6.6°,2.5 м/с,68.4 мм,-
Володимир,7.2020,+19.2 °,+29.8°,+8°,1.7 м/с,47.3 мм,-
Володимир,8.2020,+19.5 °,+31.6°,+8.2°,1.9 м/с,68.8 мм,-
Володимир,9.2020,+15.2 °,+28°,+1.6°,1.9 м/с,89.4 мм,-
Володимир,10.2020,+11 °,+22.6°,+3°,2 м/с,39 мм,-
Володимир,11.2020,+4.9 °,+12.8°,-6.1°,2 м/с,14.2 мм,1 см
Володимир,12.2020,+1.4 °,+10.4°,-5.3°,3.1 м/с,44 мм,2 см
Вознесенськ,1.2020,+1.3 °,+8.1°,-6.4°,1.3 м/с,9.6 мм,-
Вознесенськ,2.2020,+3.8 °,+16.7°,-7.5°,2.2 м/с,30.9 мм,2 см
Вознесенськ,3.2020,+8.3 °,+20.9°,-6°,2 м/с,7.2 мм,-
Вознесенськ,4.2020,+10.6 °,+24°,-5.8°,1.9 м/с,6.5 мм,-
Вознесенськ,5.2020,+14.9 °,+27.3°,+2°,1.7 м/с,67.8 мм,-
Вознесенськ,6.2020,+22.7 °,+36.4°,+7.5°,1.4 м/с,67.9 мм,-
Вознесенськ,7.2020,+24.7 °,+36.4°,+11.7°,1.3 м/с,20.7 мм,-
Вознесенськ,8.2020,+24 °,+36.2°,+11°,1.4 м/с,0.4 мм,-
Вознесенськ,9.2020,+20.1 °,+36.3°,+5.5°,1.5 м/с,20.4 мм,-
Вознесенськ,10.2020,+15.1 °,+24.6°,+1.2°,1.5 м/с,12.8 мм,-
Вознесенськ,11.2020,+5 °,+15.3°,-1.9°,1.3 м/с,16.4 мм,1 см
Вознесенськ,12.2020,+1.8 °,+12.7°,-7.6°,2 м/с,34.5 мм,3 см
Гадяч,1.2020,0 °,+4.7°,-5.6°,2.3 м/с,36.6 мм,9 см
Гадяч,2.2020,+0.6 °,+9°,-15°,2.6 м/с,45.8 мм,14 см
Гадяч,3.2020,+6.5 °,+18.5°,-5.6°,2.8 м/с,9 мм,-
Гадяч,4.2020,+8.6 °,+21.4°,-7°,3.2 м/с,17.6 мм,-
Гадяч,5.2020,+13.1 °,+24.7°,+3°,1.9 м/с,114 мм,-
Гадяч,6.2020,+22.4 °,+32.8°,+9.1°,1.9 м/с,75.9 мм,-
Гадяч,7.2020,+21.3 °,+33.9°,+11.3°,1.6 м/с,58.9 мм,-
Гадяч,8.2020,+20.4 °,+32.9°,+9.1°,1.5 м/с,9.7 мм,-
Гадяч,9.2020,+17.8 °,+34°,+2.6°,2.2 м/с,16.6 мм,-
Гадяч,10.2020,+12.2 °,+23.1°,-0.6°,1.8 м/с,12.5 мм,-
Гадяч,11.2020,+3.2 °,+13.3°,-4°,1.4 м/с,33.8 мм,6 см
Гадяч,12.2020,-2 °,+4.2°,-10.2°,2.4 м/с,23.6 мм,3 см
Гайворон,1.2020,+0.5 °,+9.1°,-9.8°,1.4 м/с,5.6 мм,-
Гайворон,2.2020,+2.9 °,+13.8°,-8.7°,2.1 м/с,33.6 мм,1 см
Гайворон,3.2020,+6.7 °,+21.2°,-6.1°,2 м/с,29.5 мм,-
Гайворон,4.2020,+9.5 °,+24.3°,-8°,2.1 м/с,13 мм,-
Гайворон,5.2020,+13.1 °,+27.8°,+1.1°,1.6 м/с,71.2 мм,-
Гайворон,6.2020,+21.3 °,+33.2°,+5°,1.2 м/с,65.9 мм,-
Гайворон,7.2020,+22.1 °,+34.1°,+10.4°,1.3 м/с,48 мм,-
Гайворон,8.2020,+21.7 °,+33.5°,+8.8°,1.2 м/с,22 мм,-
Гайворон,9.2020,+18.1 °,+34.4°,+5°,1.3 м/с,58.3 мм,-
Гайворон,10.2020,+13.3 °,+22.3°,+1°,1.2 м/с,75.6 мм,-
Гайворон,11.2020,+4.1 °,+11.9°,-3°,1.1 м/с,23.9 мм,1 см
Гайворон,12.2020,+0.9 °,+10.1°,-8.5°,1.8 м/с,30.2 мм,3 см
Гайсин,1.2020,+0.3 °,+7.4°,-9.1°,1.8 м/с,14.2 мм,1 см
Гайсин,2.2020,+2.3 °,+11.1°,-8.8°,2.6 м/с,57.1 мм,1 см
Гайсин,3.2020,+6 °,+18.8°,-5.7°,2.5 м/с,31.4 мм,-
Гайсин,4.2020,+9.2 °,+23.4°,-7.3°,2.5 м/с,21 мм,-
Гайсин,5.2020,+12.3 °,+27.6°,+1.2°,2.3 м/с,128.8 мм,-
Гайсин,6.2020,+21 °,+32.7°,+4.7°,2 м/с,44.2 мм,-
Гайсин,7.2020,+21.8 °,+33.1°,+10.3°,2 м/с,17.3 мм,-
Гайсин,8.2020,+21.2 °,+32.9°,+8.4°,1.9 м/с,38 мм,-
Гайсин,9.2020,+17.6 °,+33.4°,+3.9°,1.9 м/с,55.6 мм,-
Гайсин,10.2020,+12.8 °,+22°,+1.5°,1.9 м/с,90 мм,-
Гайсин,11.2020,+3.8 °,+11.3°,-4.4°,1.7 м/с,28 мм,1 см
Гайсин,12.2020,+0.4 °,+8.7°,-8.1°,2.5 м/с,43.4 мм,1 см
Генічеськ,1.2020,+1.9 °,+10.3°,-4.6°,2.3 м/с,11.7 мм,-
Генічеськ,2.2020,+2.9 °,+15.9°,-13.7°,4 м/с,60.7 мм,6 см
Генічеськ,3.2020,+7.4 °,+18.8°,-4.8°,3.8 м/с,4.6 мм,-
Генічеськ,4.2020,+10.2 °,+20.8°,-2.2°,3.1 м/с,10.8 мм,-
Генічеськ,5.2020,+15.7 °,+24.6°,+6.5°,2.6 м/с,72.9 мм,-
Генічеськ,6.2020,+22.6 °,+31.1°,+11.2°,2.1 м/с,15.1 мм,-
Генічеськ,7.2020,+25 °,+37°,+14.8°,2.2 м/с,24.3 мм,-
Генічеськ,8.2020,+23.7 °,+33.8°,+11.5°,1.9 м/с,19.2 мм,-
Генічеськ,9.2020,+20.8 °,+30.8°,+9.4°,2.2 м/с,64.6 мм,-
Генічеськ,10.2020,+16.8 °,+24.7°,+5.2°,3 м/с,15.7 мм,-
Генічеськ,11.2020,+5.7 °,+14.4°,-2.2°,2.5 м/с,18.8 мм,-
Генічеськ,12.2020,+2.1 °,+9.4°,-3.4°,5.4 м/с,14.4 мм,5 см
Губиниха,1.2020,-0.1 °,+5.7°,-8.5°,2.1 м/с,19.3 мм,2 см
Губиниха,2.2020,+0.5 °,+13.1°,-17.2°,3.1 м/с,67.9 мм,11 см
Губиниха,3.2020,+6.9 °,+21.5°,-6.3°,3.8 м/с,26.8 мм,-
Губиниха,4.2020,+8.7 °,+22°,-6.7°,3.8 м/с,16.1 мм,-
Губиниха,5.2020,+13.8 °,+25.6°,+3.7°,2.6 м/с,103.4 мм,-
Губиниха,6.2020,+22 °,+33.4°,+8.1°,2.4 м/с,60.1 мм,-
Губиниха,7.2020,+23 °,+36.8°,+11.3°,2 м/с,40 мм,-
Губиниха,8.2020,+21.5 °,+33.3°,+9.7°,1.9 м/с,35 мм,-
Губиниха,9.2020,+19.1 °,+34.6°,+3.3°,2.7 м/с,20 мм,-
Губиниха,10.2020,+13.3 °,+23.8°,+0.5°,2.3 м/с,23.1 мм,-
Губиниха,11.2020,+3.5 °,+11.6°,-4.6°,2.2 м/с,26.4 мм,2 см
Губиниха,12.2020,-1.6 °,+4.9°,-9.9°,3.6 м/с,43.1 мм,5 см
Дніпро,1.2020,-0.2 °,+5.5°,-7.5°,3.7 м/с,23.9 мм,5 см
Дніпро,2.2020,+0.7 °,+13.5°,-14.3°,4.7 м/с,84.9 мм,19 см
Дніпро,3.2020,+7 °,+22.4°,-4.8°,4.8 м/с,21.5 мм,-
Дніпро,4.2020,+8.9 °,+21.7°,-4.7°,4.6 м/с,11 мм,-
Дніпро,5.2020,+13.9 °,+25.8°,+3.6°,3.7 м/с,78 мм,-
Дніпро,6.2020,+21.7 °,+33.1°,+9.6°,3.4 м/с,47.8 мм,-
Дніпро,7.2020,+23.5 °,+37.5°,+13.1°,3.5 м/с,31.3 мм,-
Дніпро,8.2020,+22.1 °,+35.3°,+10.4°,3.2 м/с,12.7 мм,-
Дніпро,9.2020,+19.4 °,+36°,+6.5°,4 м/с,31.8 мм,-
Дніпро,10.2020,+13.2 °,+24°,+2.3°,3.7 м/с,11.3 мм,-
Дніпро,11.2020,+3.7 °,+11.9°,-5.4°,3.6 м/с,34.7 мм,4 см
Дніпро,12.2020,-1.5 °,+6.5°,-9.5°,5.1 м/с,27.3 мм,0.7 см
Дрогобич,1.2020,+1.6 °,+10.8°,-7.2°,2.4 м/с,15.6 мм,1 см
Дрогобич,2.2020,+3.5 °,+13.8°,-8.9°,3.6 м/с,58.2 мм,2 см
Дрогобич,3.2020,+5 °,+19.2°,-7.6°,2.4 м/с,39.5 мм,1 см
Дрогобич,4.2020,+9 °,+23.2°,-6.6°,2.3 м/с,22 мм,-
Дрогобич,5.2020,+11.2 °,+26.7°,-2.2°,2.7 м/с,168.4 мм,-
Дрогобич,6.2020,+18.4 °,+29.1°,+4.8°,1.6 м/с,130.7 мм,-
Дрогобич,7.2020,+19.1 °,+29.2°,+8°,1.7 м/с,88.1 мм,-
Дрогобич,8.2020,+19.7 °,+32.8°,+7.5°,1.8 м/с,31.6 мм,-
Дрогобич,9.2020,+14.8 °,+30.5°,+2.1°,1.3 м/с,101.2 мм,-
Дрогобич,10.2020,+11 °,+24°,+2.6°,1.6 м/с,80.3 мм,-
Дрогобич,11.2020,+4.5 °,+15.7°,-7.6°,1.6 м/с,25.9 мм,9 см
Дрогобич,12.2020,+1.1 °,+10.8°,-10.9°,2.1 м/с,38.5 мм,8 см
Дружба,1.2020,-0.2 °,+3.9°,-6.6°,1.7 м/с,24.5 мм,4 см
Дружба,2.2020,-0.1 °,+7.9°,-15.8°,1.9 м/с,41.8 мм,8 см
Дружба,3.2020,+5.1 °,+17.4°,-6.4°,2.1 м/с,18.2 мм,4 см
Дружба,4.2020,+6.8 °,+22.2°,-9.2°,2.4 м/с,11.9 мм,-
Дружба,5.2020,+11.4 °,+23.7°,+0.7°,1.6 м/с,97.4 мм,-
Дружба,6.2020,+20.8 °,+31.4°,+5.5°,1.8 м/с,37.4 мм,-
Дружба,7.2020,+19.2 °,+32.2°,+6.9°,1.4 м/с,53.4 мм,-
Дружба,8.2020,+18.3 °,+30.6°,+5.2°,1.3 м/с,38.8 мм,-
Дружба,9.2020,+15.3 °,+31.1°,-1°,1.9 м/с,29.9 мм,-
Дружба,10.2020,+10.7 °,+21.9°,-2.3°,2 м/с,27.2 мм,-
Дружба,11.2020,+1.9 °,+10.6°,-6.1°,1.6 м/с,80.6 мм,9 см
Дружба,12.2020,-2.8 °,+2.9°,-11.1°,2.4 м/с,39 мм,17 см
Жашків,1.2020,+0.2 °,+5.5°,-8.1°,1.3 м/с,16.9 мм,2 см
Жашків,2.2020,+1.9 °,+9.9°,-9.6°,1.7 м/с,62.2 мм,2 см
Жашків,3.2020,+6.1 °,+18.5°,-4.9°,1.4 м/с,25.3 мм,2 см
Жашків,4.2020,+9.3 °,+22.6°,-6.7°,1.5 м/с,37 мм,-
Жашків,5.2020,+12.3 °,+27°,+3°,1.1 м/с,99.3 мм,-
Жашків,6.2020,+21 °,+32.4°,+4.9°,0.6 м/с,64.4 мм,-
Жашків,7.2020,+21.6 °,+32.5°,+10.9°,0.8 м/с,17.6 мм,-
Жашків,8.2020,+20.9 °,+32.5°,+9.4°,0.7 м/с,44.1 мм,-
