City,Year,Month,Average Temperature (celsius),Max Temperature (celsius),Min Temperature (celsius),Average Wind Speed (m/s),Total Precipitation (mm),Max Snow Depth (cm)
Дніпро,2010,10,6.4,16.9,-3.0,4.2,53.4,0.0
Дніпро,2010,11,8.8,19.8,-2.0,4.2,38.1,0.0
Дніпро,2010,12,-0.5,10.6,-9.7,4.5,59.2,9.0
Житомир,2010,2,0.6,3.0,-2.2,2.9,0.0,18.0
Житомир,2010,3,1.8,16.6,-10.5,2.0,14.9,20.0
Житомир,2010,4,10.0,22.0,0.5,1.7,19.5,0.0
Житомир,2010,5,16.4,24.7,5.4,1.6,87.9,0.0
Житомир,2010,6,20.2,31.8,8.0,1.5,80.6,0.0
Житомир,2010,7,22.7,33.6,13.2,1.0,85.7,0.0
Житомир,2010,8,22.0,35.8,8.8,1.2,39.0,0.0
Житомир,2010,9,13.7,24.4,4.4,1.2,64.8,0.0
Житомир,2010,10,5.6,12.6,-2.7,1.5,39.1,0.0
Житомир,2010,11,7.4,21.4,-9.8,2.2,87.1,4.0
Житомир,2010,12,-4.4,7.2,-14.3,1.6,51.7,14.0
Запоріжжя,2010,2,0.5,5.6,-2.1,4.1,0.0,2.0
Запоріжжя,2010,3,2.7,17.3,-7.9,4.1,7.8,1.0
Запоріжжя,2010,4,10.6,21.0,-0.7,3.0,7.7,0.0
Запоріжжя,2010,5,17.7,28.7,8.1,2.9,127.8,3.0
Запоріжжя,2010,6,23.0,34.1,11.1,3.1,69.2,0.0
Запоріжжя,2010,7,25.5,37.7,17.4,2.8,20.9,0.0
Запоріжжя,2010,8,26.5,39.7,9.2,3.6,7.8,0.0
Запоріжжя,2010,9,17.7,29.8,5.7,3.8,53.7,0.0
Запоріжжя,2010,10,6.8,16.9,-3.6,3.6,58.9,0.0
Запоріжжя,2010,11,9.2,20.7,-1.9,3.7,32.3,0.0
Запоріжжя,2010,12,0.3,11.7,-9.3,3.9,49.0,18.0
Івано-Франківськ,2010,2,1.4,4.4,-1.1,2.8,2.1,16.0
Івано-Франківськ,2010,3,3.0,18.5,-17.0,3.2,40.6,10.0
Івано-Франківськ,2010,4,9.5,24.1,-1.7,2.7,58.0,0.0
Івано-Франківськ,2010,5,15.3,26.6,7.0,2.3,160.3,0.0
Івано-Франківськ,2010,6,17.9,32.8,7.5,2.6,169.3,0.0
Івано-Франківськ,2010,7,20.8,31.7,10.2,2.3,239.7,0.0
Івано-Франківськ,2010,8,20.1,32.5,5.4,1.9,92.4,0.0
Івано-Франківськ,2010,9,12.5,21.9,3.8,2.2,64.6,0.0
Івано-Франківськ,2010,10,5.1,14.5,-6.1,2.1,34.3,0.0
Івано-Франківськ,2010,11,6.8,21.6,-9.3,2.6,10.5,0.8
Івано-Франківськ,2010,12,-4.3,6.8,-14.4,2.0,39.2,13.0
Ізюм,2010,2,0.3,4.3,-3.1,2.0,0.2,2.0
Ізюм,2010,3,1.8,16.1,-10.2,2.0,26.2,5.0
Ізюм,2010,4,10.3,21.7,-1.5,1.7,15.3,0.0
Ізюм,2010,5,17.6,27.9,5.6,1.5,82.1,0.0
Ізюм,2010,6,22.9,35.3,8.5,1.6,25.3,0.0
Ізюм,2010,7,24.5,36.2,15.3,1.1,176.5,0.0
Ізюм,2010,8,24.4,38.7,5.3,1.4,10.1,0.0
Ізюм,2010,9,15.4,32.4,1.4,1.3,110.3,0.0
Ізюм,2010,10,6.0,16.1,-3.6,1.7,64.9,0.0
Ізюм,2010,11,8.4,19.2,-2.5,2.3,37.7,0.0
Ізюм,2010,12,-0.3,11.4,-11.2,2.1,78.4,11.0
Керч,2010,2,3.2,8.7,-0.2,5.2,0.0,0.0
Керч,2010,3,4.4,15.6,-6.4,4.7,15.4,3.0
Керч,2010,4,10.1,19.5,1.7,4.1,15.3,0.0
Керч,2010,5,17.1,27.3,8.1,3.7,54.6,0.0
Керч,2010,6,22.9,32.1,16.1,3.8,77.0,0.0
Керч,2010,7,25.5,34.4,18.1,3.7,18.5,0.0
Керч,2010,8,26.6,35.5,16.3,4.1,0.8,0.0
Керч,2010,9,20.2,32.9,10.9,5.0,23.2,0.0
Керч,2010,10,10.6,21.4,3.0,4.8,55.8,0.0
Керч,2010,11,11.5,22.5,2.3,4.0,52.7,0.0
Керч,2010,12,6.1,16.5,-4.0,4.6,79.0,1.0
Київ,2010,2,0.2,3.6,-2.6,2.5,0.1,29.0
Київ,2010,3,1.5,15.2,-9.6,2.8,20.5,32.0
Київ,2010,4,10.3,21.4,1.3,2.3,40.3,0.0
Київ,2010,5,17.3,26.8,8.2,2.1,54.3,0.0
Київ,2010,6,22.0,33.2,12.0,2.4,26.0,0.0
Київ,2010,7,24.5,34.1,16.0,1.8,100.5,0.0
Київ,2010,8,24.6,37.9,10.0,2.1,24.9,0.0
Київ,2010,9,14.9,25.6,6.7,1.7,50.6,0.0
Київ,2010,10,6.2,13.0,-1.2,2.2,44.9,0.0
Київ,2010,11,7.9,21.2,-9.8,2.9,71.8,4.0
Київ,2010,12,-4.1,6.2,-14.2,2.5,57.3,15.0
Кропивницький,2010,2,-0.8,2.9,-3.6,4.6,0.001,14.0
Кропивницький,2010,3,0.4,16.2,-16.9,3.9,26.8,25.0
Кропивницький,2010,4,9.6,19.0,0.4,3.4,11.4,0.0
Кропивницький,2010,5,17.0,26.6,6.4,3.3,41.5,0.0
Кропивницький,2010,6,21.6,34.0,8.5,3.5,36.9,0.0
Кропивницький,2010,7,23.8,34.5,13.1,2.7,146.4,0.0
Кропивницький,2010,8,24.8,38.3,9.1,3.5,8.0,0.0
Кропивницький,2010,9,15.5,27.4,4.8,3.6,85.3,0.0
Кропивницький,2010,10,6.2,18.6,-3.1,3.7,41.6,0.0
Кропивницький,2010,11,8.9,19.8,-5.8,4.6,31.7,0.0
Кропивницький,2010,12,-2.4,10.6,-17.0,4.4,48.8,11.0
Конотоп,2010,2,-0.6,3.8,-3.1,2.5,0.0,44.0
Конотоп,2010,3,-0.7,14.3,-16.1,2.3,14.7,44.0
Конотоп,2010,4,9.7,18.7,-0.1,2.0,24.2,0.0
Конотоп,2010,5,17.8,27.2,6.7,1.9,60.1,0.0
Конотоп,2010,6,21.7,33.3,8.4,2.3,70.8,0.0
Конотоп,2010,7,24.8,34.7,15.4,1.6,78.5,0.0
Конотоп,2010,8,23.8,38.3,8.5,1.6,19.4,0.0
Конотоп,2010,9,14.1,26.2,3.4,1.8,56.3,0.0
Конотоп,2010,10,5.3,14.0,-4.6,2.0,28.3,0.0
Конотоп,2010,11,6.9,17.5,-14.6,2.6,71.4,10.0
Конотоп,2010,12,-4.2,7.5,-19.6,2.4,79.5,16.0
Кривий Ріг,2010,2,-0.6,2.8,-2.6,4.5,0.0,18.0
Кривий Ріг,2010,3,1.5,17.1,-13.0,4.3,13.3,15.0
Кривий Ріг,2010,4,10.3,19.7,0.2,3.8,7.9,0.0
Кривий Ріг,2010,5,17.5,28.0,9.0,3.5,75.0,0.0
Кривий Ріг,2010,6,22.2,33.6,10.6,3.7,38.6,0.0
Кривий Ріг,2010,7,24.1,34.1,15.5,2.9,82.8,0.0
Кривий Ріг,2010,8,25.6,39.3,11.1,3.9,24.0,0.0
Кривий Ріг,2010,9,16.3,28.0,6.7,4.0,71.9,0.0
Кривий Ріг,2010,10,6.5,19.1,-3.3,4.2,55.5,0.0
Кривий Ріг,2010,11,9.2,21.6,-4.3,4.6,35.2,0.0
Кривий Ріг,2010,12,-0.8,11.9,-15.6,4.7,46.8,9.0
Лубни,2010,2,-0.5,3.3,-2.8,2.2,0.2,33.0
Лубни,2010,3,0.1,15.1,-10.5,1.8,30.2,42.0
Лубни,2010,4,10.2,18.3,0.8,1.8,8.6,0.0
Лубни,2010,5,17.3,26.9,7.6,1.6,56.1,0.0
Лубни,2010,6,22.1,33.7,9.6,1.8,20.7,0.0
Лубни,2010,7,25.0,35.6,16.7,1.2,51.0,0.0
Лубни,2010,8,25.0,38.7,10.5,1.6,6.4,0.0
Лубни,2010,9,15.0,26.3,5.0,1.5,93.7,0.0
Лубни,2010,10,5.8,14.5,-2.7,1.7,45.7,0.0
Лубни,2010,11,8.0,18.8,-9.8,2.5,66.9,4.0
Лубни,2010,12,-3.3,9.3,-16.9,2.2,89.4,14.0
Львів,2010,2,2.1,7.4,-0.9,2.4,2.6,10.0
Львів,2010,3,3.0,17.7,-12.3,3.0,31.1,9.0
Львів,2010,4,9.2,22.6,-1.0,2.3,39.7,0.0
Львів,2010,5,14.7,23.3,7.1,2.0,221.8,0.0
Львів,2010,6,17.9,31.7,7.1,2.4,96.9,0.0
Львів,2010,7,20.5,30.7,11.2,1.7,78.3,0.0
Львів,2010,8,19.7,32.1,6.5,1.7,125.1,0.0
Львів,2010,9,12.3,21.5,3.4,2.3,65.0,0.0
Львів,2010,10,5.5,16.9,-4.4,2.3,26.1,0.0
Львів,2010,11,7.0,20.6,-10.6,2.9,41.9,2.0
Львів,2010,12,-3.7,10.0,-16.8,2.6,94.3,15.0
Любашівка,2010,2,0.5,6.3,-2.7,2.4,0.001,6.0
Любашівка,2010,3,2.0,18.1,-13.7,2.7,29.9,20.0
Любашівка,2010,4,9.7,20.1,1.2,3.0,50.9,0.0
Любашівка,2010,5,16.8,25.3,8.0,2.9,110.7,0.0
Любашівка,2010,6,20.5,33.0,11.1,2.5,82.8,0.0
Любашівка,2010,7,23.2,33.0,14.2,2.2,32.5,0.0
Любашівка,2010,8,24.5,36.4,9.8,2.7,30.0,0.0
Любашівка,2010,9,15.8,98.4,6.4,2.7,49.2,0.0
Любашівка,2010,10,6.8,16.0,-2.8,2.8,44.1,0.0
Любашівка,2010,11,9.4,20.8,-5.1,3.2,35.5,0.0
Любашівка,2010,12,-2.9,11.2,-13.7,3.3,67.3,22.0
Маріуполь,2010,2,0.4,3.4,-1.8,7.8,0.0,0.0
Маріуполь,2010,3,2.2,13.0,-6.2,4.7,22.6,8.0
Маріуполь,2010,4,10.0,17.4,2.4,4.0,8.5,0.0
Маріуполь,2010,5,17.8,24.4,10.4,3.8,38.6,0.0
Маріуполь,2010,6,23.3,32.2,15.2,4.6,29.5,0.0
Маріуполь,2010,7,25.6,35.2,18.2,3.5,66.8,0.0
Маріуполь,2010,8,27.1,36.4,10.5,4.1,0.0,0.0
Маріуполь,2010,9,18.4,28.2,6.8,4.8,42.5,0.0
Маріуполь,2010,10,7.9,16.6,-0.6,4.9,51.0,0.0
Маріуполь,2010,11,9.1,17.5,0.7,4.3,53.5,0.0
Маріуполь,2010,12,1.6,10.3,-7.7,4.3,74.7,7.0
Миронівка,2010,2,0.4,5.5,-3.0,2.3,0.0,23.0
Миронівка,2010,3,0.7,16.1,-15.0,2.7,22.3,25.0
Миронівка,2010,4,9.9,20.0,0.4,2.5,22.1,0.0
Миронівка,2010,5,17.0,25.8,7.3,2.2,72.7,0.0
Миронівка,2010,6,21.6,32.3,10.0,2.2,62.1,0.0
Миронівка,2010,7,23.8,35.0,14.1,1.7,51.1,0.0
Миронівка,2010,8,24.3,38.5,10.0,2.0,13.4,0.0
Миронівка,2010,9,15.1,27.5,5.6,2.2,32.5,0.0
Миронівка,2010,10,6.1,15.6,-3.0,2.3,28.4,0.0
Миронівка,2010,11,8.7,19.9,-8.0,3.2,62.0,8.0
Миронівка,2010,12,-3.7,9.1,-15.2,2.8,73.8,15.0
Могилів-Подільський,2010,2,3.5,9.3,0.0,1.8,0.3,1.0
Могилів-Подільський,2010,3,3.7,21.3,-11.0,1.5,8.2,2.0
Могилів-Подільський,2010,4,10.8,23.4,-1.4,1.4,38.8,0.0
Могилів-Подільський,2010,5,17.4,26.9,6.7,1.4,69.4,0.0
Могилів-Подільський,2010,6,20.5,34.0,7.0,1.2,109.2,0.0
Могилів-Подільський,2010,7,23.1,33.5,12.8,0.8,76.7,0.0
Могилів-Подільський,2010,8,23.2,37.0,7.2,0.9,53.4,0.0
Могилів-Подільський,2010,9,14.6,26.7,5.8,1.0,83.4,0.0
Могилів-Подільський,2010,10,6.9,97.8,-4.1,1.1,50.7,0.0
Могилів-Подільський,2010,11,8.9,22.6,-6.4,1.3,51.2,0.0
Могилів-Подільський,2010,12,-3.3,9.5,-15.1,1.1,66.4,16.0
Одеса,2010,2,1.6,5.3,-1.1,3.9,0.0,0.0
Одеса,2010,3,3.9,19.8,-5.1,3.1,18.5,8.0
Одеса,2010,4,10.3,17.6,4.2,2.8,49.0,0.0
Одеса,2010,5,16.7,24.2,10.1,2.4,69.6,0.0
Одеса,2010,6,22.0,30.2,14.6,2.4,49.1,0.0
Одеса,2010,7,24.4,32.2,17.9,1.9,54.2,0.0
Одеса,2010,8,26.0,36.8,11.6,2.2,35.4,0.0
Одеса,2010,9,17.9,25.3,10.8,3.1,106.1,0.0
Одеса,2010,10,9.7,17.6,0.5,3.8,81.3,0.0
Одеса,2010,11,11.9,22.1,1.4,3.1,30.1,0.0
Одеса,2010,12,1.5,12.2,-9.0,3.3,57.1,11.0
Полтава,2010,2,-0.8,3.2,-4.9,2.7,0.001,34.0
Полтава,2010,3,0.4,15.0,-10.1,2.9,23.4,42.0
Полтава,2010,4,10.5,19.6,1.2,2.7,12.8,0.0
Полтава,2010,5,17.7,28.6,9.0,2.5,52.5,0.0
Полтава,2010,6,22.2,33.8,11.2,2.6,83.3,0.0
Полтава,2010,7,24.8,35.6,15.5,2.1,64.0,0.0
Полтава,2010,8,25.6,38.7,10.4,2.6,10.0,0.0
Полтава,2010,9,15.4,26.8,5.8,2.8,83.8,0.0
Полтава,2010,10,5.6,14.0,-2.8,3.0,56.1,0.0
Полтава,2010,11,8.3,18.8,-7.4,3.2,43.2,0.7
Полтава,2010,12,-2.3,10.7,-12.1,3.3,83.3,6.0
Рівне,2010,2,1.3,3.8,0.0,3.5,0.0,11.0
Рівне,2010,3,1.8,17.8,-11.3,4.0,34.8,12.0
Рівне,2010,4,9.2,23.0,-0.4,3.8,33.5,0.0
Рівне,2010,5,16.0,25.3,6.1,3.5,109.9,0.0
Рівне,2010,6,19.0,31.7,8.6,3.5,155.8,0.0
Рівне,2010,7,22.0,33.4,12.5,2.7,103.4,0.0
Рівне,2010,8,20.7,33.7,6.5,3.1,105.2,0.0
Рівне,2010,9,12.6,24.5,3.1,3.2,64.5,0.0
Рівне,2010,10,4.9,14.5,-3.9,3.6,36.3,0.0
Рівне,2010,11,6.3,19.1,-13.0,4.7,40.2,10.0
Рівне,2010,12,-4.7,5.2,-15.6,4.2,74.6,11.0
Сарни,2010,2,1.9,4.6,0.1,1.3,1.1,12.0
Сарни,2010,3,2.4,17.6,-8.8,1.6,19.0,4.0
Сарни,2010,4,9.5,23.8,0.4,1.2,14.9,0.0
Сарни,2010,5,16.2,26.7,3.4,1.3,74.3,0.0
Сарни,2010,6,19.5,32.9,5.8,1.3,81.2,0.0
Сарни,2010,7,22.3,33.9,12.7,0.8,76.9,0.0
Сарни,2010,8,20.9,34.5,7.2,1.0,115.3,0.0
Сарни,2010,9,12.9,24.6,1.8,1.0,96.8,0.0
Сарни,2010,10,5.4,16.2,-4.1,1.1,24.1,0.0
Сарни,2010,11,6.1,18.9,-12.2,1.5,65.3,13.0
Сарни,2010,12,-4.5,5.5,-19.0,1.3,68.5,18.0
Світловодськ,2010,2,0.3,4.7,-2.2,2.5,0.001,14.0
Світловодськ,2010,3,1.1,18.0,-13.5,2.4,22.2,20.0
Світловодськ,2010,4,10.1,20.0,1.7,1.9,7.6,0.0
Світловодськ,2010,5,18.0,27.9,9.7,1.9,34.2,0.0
Світловодськ,2010,6,22.9,35.0,13.2,2.3,59.9,0.0
Світловодськ,2010,7,25.3,34.9,17.8,1.7,72.6,0.0
Світловодськ,2010,8,26.0,39.6,10.8,2.3,6.8,0.0
Світловодськ,2010,9,16.3,28.2,5.7,2.3,82.4,0.0
Світловодськ,2010,10,7.3,18.6,-1.7,2.6,113.4,0.0
Світловодськ,2010,11,9.5,20.3,-4.8,3.0,47.5,0.0
Світловодськ,2010,12,-1.1,12.2,-13.4,3.1,45.0,10.0
Сімферополь,2010,2,4.2,13.3,-1.3,6.6,1.5,0.0
Сімферополь,2010,3,4.6,18.3,-6.2,5.2,35.4,4.0
Сімферополь,2010,4,9.8,24.4,0.0,4.7,13.8,0.0
Сімферополь,2010,5,16.3,27.5,6.3,4.0,16.5,0.0
Сімферополь,2010,6,21.9,33.8,13.0,4.1,101.4,0.0
Сімферополь,2010,7,23.9,36.2,16.7,3.6,98.3,0.0
Сімферополь,2010,8,25.8,38.8,11.7,4.0,2.1,0.0
Сімферополь,2010,9,18.6,29.0,9.2,4.6,21.5,0.0
Сімферополь,2010,10,9.1,24.1,-1.0,4.6,87.0,0.0
Сімферополь,2010,11,12.3,26.8,1.4,4.0,34.9,0.0
Сімферополь,2010,12,5.4,20.5,-4.2,4.7,70.2,8.0
Суми,2010,2,-1.2,3.3,-3.6,4.4,0.0,49.0
Суми,2010,3,-1.3,15.2,-14.9,3.6,12.1,54.0
Суми,2010,4,9.4,18.7,-0.6,3.4,23.6,1.0
Суми,2010,5,17.2,26.8,7.2,3.3,43.6,0.0
Суми,2010,6,21.5,33.4,7.9,3.6,13.0,0.0
Суми,2010,7,24.8,35.6,16.5,2.5,106.1,0.0
Суми,2010,8,24.2,38.7,7.3,3.2,32.7,0.0
Суми,2010,9,14.1,27.9,3.2,3.1,69.1,0.0
Суми,2010,10,4.8,12.4,-3.0,3.6,42.6,0.0
Суми,2010,11,6.6,17.5,-12.6,4.3,56.8,7.0
Суми,2010,12,-3.7,9.6,-18.1,4.1,81.6,10.0
Тернопіль,2010,2,1.1,2.9,0.0,3.9,0.9,12.0
Тернопіль,2010,3,1.8,16.4,-14.2,4.4,27.4,5.0
Тернопіль,2010,4,9.0,22.6,-2.0,4.1,40.3,0.0
Тернопіль,2010,5,15.3,23.9,6.6,3.9,115.1,0.0
Тернопіль,2010,6,18.1,30.7,7.6,4.0,144.6,0.0
Тернопіль,2010,7,20.9,31.4,11.6,3.1,108.7,0.0
Тернопіль,2010,8,20.4,33.3,6.2,2.9,82.0,0.0
Тернопіль,2010,9,12.3,22.6,3.8,3.6,77.8,0.0
Тернопіль,2010,10,4.9,13.8,-5.2,3.6,35.8,0.0
Тернопіль,2010,11,6.4,19.8,-10.6,3.8,29.1,3.0
Тернопіль,2010,12,-5.0,4.4,-14.4,3.6,60.3,9.0
Ужгород,2010,2,6.2,9.6,2.3,2.1,2.8,0.0
Ужгород,2010,3,5.4,20.5,-8.6,2.4,31.9,11.0
Ужгород,2010,4,11.1,22.7,2.8,2.2,73.2,0.0
Ужгород,2010,5,15.9,25.1,8.7,2.3,169.2,0.0
Ужгород,2010,6,19.3,32.6,7.6,2.6,131.6,0.0
Ужгород,2010,7,21.9,32.3,11.0,1.9,109.0,0.0
Ужгород,2010,8,21.0,32.7,10.3,1.7,104.2,0.0
Ужгород,2010,9,14.1,24.2,6.0,1.9,88.1,0.0
Ужгород,2010,10,7.2,19.4,-3.9,1.5,24.8,0.0
Ужгород,2010,11,8.4,18.8,-5.3,2.4,82.2,3.0
Ужгород,2010,12,-0.8,11.9,-12.3,2.5,97.5,11.0
Умань,2010,2,-0.0,3.2,-2.8,1.7,0.5,34.0
Умань,2010,3,0.9,14.2,-17.1,1.8,38.7,50.0
Умань,2010,4,9.4,20.4,-0.2,1.2,45.1,0.0
Умань,2010,5,16.4,25.0,6.8,1.3,48.1,0.0
Умань,2010,6,20.5,32.9,9.0,1.2,138.5,0.0
Умань,2010,7,23.0,33.8,13.4,0.6,63.9,0.0
Умань,2010,8,23.6,36.6,8.9,1.0,34.3,0.0
Умань,2010,9,14.5,26.0,3.6,1.2,47.3,0.0
Умань,2010,10,5.8,13.0,-4.0,1.1,42.3,0.0
Умань,2010,11,8.7,21.0,-6.8,1.6,51.3,5.0
Умань,2010,12,-3.8,8.5,-13.6,1.7,61.3,20.0
Харків,2010,2,-0.6,4.1,-2.6,4.2,0.301,6.0
Харків,2010,3,0.3,13.9,-10.6,3.6,18.6,9.0
Харків,2010,4,10.4,20.6,2.2,3.6,25.1,0.0
Харків,2010,5,18.0,28.3,8.8,3.5,45.6,0.0
Харків,2010,6,23.2,34.6,12.1,3.7,19.7,0.0
Харків,2010,7,25.8,36.4,16.6,3.0,62.2,0.0
Харків,2010,8,26.1,39.5,11.3,3.3,16.3,0.0
Харків,2010,9,15.7,31.6,5.5,3.6,118.8,0.0
Харків,2010,10,5.9,14.7,-3.3,3.9,101.0,0.0
Харків,2010,11,7.8,19.9,-6.3,4.2,41.9,0.7
Харків,2010,12,-1.7,10.8,-14.6,4.1,64.8,7.0
Херсон,2010,2,2.0,9.2,-1.5,3.2,0.0,2.0
Херсон,2010,3,3.4,19.1,-8.8,2.6,14.6,5.0
Херсон,2010,4,10.7,20.7,1.3,1.9,11.0,0.0
Херсон,2010,5,17.6,27.3,7.3,1.1,61.3,0.0
Херсон,2010,6,22.5,34.8,14.0,1.9,69.5,0.0
Херсон,2010,7,24.7,35.2,15.2,1.8,44.9,0.0
Херсон,2010,8,26.1,40.5,11.9,2.1,44.0,0.0
Херсон,2010,9,17.7,28.0,6.8,2.5,157.1,0.0
Херсон,2010,10,7.8,19.3,-2.1,2.2,136.2,0.0
Херсон,2010,11,10.5,21.1,-1.2,2.5,43.0,0.0
Херсон,2010,12,1.6,14.6,-10.5,3.2,68.9,11.0
Хмельницький,2010,2,0.9,4.1,-1.4,4.5,0.101,19.0
Хмельницький,2010,3,1.6,16.0,-11.3,4.3,21.1,13.0
Хмельницький,2010,4,9.3,21.0,-0.2,4.0,33.3,0.0
Хмельницький,2010,5,15.4,23.7,7.8,3.7,89.6,0.0
Хмельницький,2010,6,18.4,30.6,9.0,3.7,212.2,0.0
Хмельницький,2010,7,21.4,31.6,11.9,2.8,46.4,0.0
Хмельницький,2010,8,21.1,33.4,7.8,3.2,79.0,0.0
Хмельницький,2010,9,12.9,23.0,5.7,3.1,60.8,0.0
Хмельницький,2010,10,5.0,12.1,-2.8,3.6,48.8,0.0
Хмельницький,2010,11,6.9,18.8,-10.8,4.0,36.0,4.0
Хмельницький,2010,12,-4.7,7.6,-12.3,3.9,68.5,16.0
Чернігів,2010,2,-0.1,2.6,-2.8,3.4,0.3,42.0
Чернігів,2010,3,-0.3,14.6,-12.8,3.0,14.2,43.0
Чернігів,2010,4,9.4,20.4,1.0,2.5,24.0,0.0
Чернігів,2010,5,17.1,26.2,6.1,2.7,61.4,0.0
Чернігів,2010,6,21.5,77.0,7.4,3.1,31.9,0.0
Чернігів,2010,7,24.6,53.5,14.6,2.2,46.9,0.0
Чернігів,2010,8,23.2,37.4,9.0,2.4,37.7,0.0
Чернігів,2010,9,13.8,25.2,4.7,2.0,77.0,0.0
Чернігів,2010,10,5.3,14.0,-3.0,2.6,35.1,0.0
Чернігів,2010,11,6.2,18.1,-14.0,3.0,103.0,19.0
Чернігів,2010,12,-5.3,4.3,-20.2,2.7,68.3,19.0
Чернівці,2010,2,1.6,5.2,-0.8,2.7,0.3,17.0
Чернівці,2010,3,3.6,19.5,-11.0,3.0,35.3,10.0
Чернівці,2010,4,10.1,22.7,0.8,3.4,28.8,0.0
Чернівці,2010,5,15.8,26.0,9.2,2.8,125.8,0.0
Чернівці,2010,6,18.6,30.9,10.4,3.1,222.5,0.0
Чернівці,2010,7,21.4,31.2,12.9,2.7,72.9,0.0
Чернівці,2010,8,21.6,32.2,9.5,2.5,45.0,0.0
Чернівці,2010,9,13.6,23.6,7.0,2.7,90.8,0.0
Чернівці,2010,10,6.0,13.8,-2.6,2.8,41.4,0.0
Чернівці,2010,11,7.8,21.1,-7.1,2.5,17.4,2.0
Чернівці,2010,12,-4.5,10.8,-14.5,2.7,67.7,16.0
Чорноморське,2010,2,3.7,10.8,-1.0,5.6,0.0,0.0
Чорноморське,2010,3,5.0,13.5,-3.7,4.6,11.6,2.0
Чорноморське,2010,4,10.2,18.9,2.2,3.6,11.1,0.0
Чорноморське,2010,5,16.5,25.7,7.3,3.2,28.4,0.0
Чорноморське,2010,6,22.2,28.8,14.8,3.6,87.3,0.0
Чорноморське,2010,7,24.8,31.6,12.7,2.9,53.6,0.0
Чорноморське,2010,8,26.2,38.6,14.4,3.2,0.0,0.0
Чорноморське,2010,9,19.1,27.9,10.0,4.3,30.1,0.0
Чорноморське,2010,10,10.1,19.6,0.6,4.6,116.1,0.0
Чорноморське,2010,11,12.7,20.4,3.5,4.0,42.1,0.0
Чорноморське,2010,12,6.1,17.2,-5.1,5.3,98.5,1.0
Шепетівка,2010,2,1.1,4.7,-1.0,2.7,0.0,22.0
Шепетівка,2010,3,1.3,16.4,-12.4,2.8,21.7,15.0
Шепетівка,2010,4,9.2,22.8,-0.8,3.0,13.6,0.0
Шепетівка,2010,5,15.9,25.0,5.3,2.8,156.7,0.0
Шепетівка,2010,6,18.9,31.5,7.8,2.7,84.4,0.0
Шепетівка,2010,7,21.7,32.8,11.5,1.7,145.8,0.0
Шепетівка,2010,8,20.8,33.2,6.9,2.0,85.6,0.0
Шепетівка,2010,9,12.9,24.2,4.5,2.4,87.8,0.0
Шепетівка,2010,10,5.1,13.0,-3.4,2.6,39.2,0.0
Шепетівка,2010,11,6.5,20.7,-12.5,3.7,53.9,11.0
Шепетівка,2010,12,-4.5,6.6,-13.6,3.0,72.0,19.0
Донецьк,2010,2,-0.1,4.4,-3.4,5.6,0.001,5.0
Донецьк,2010,3,1.5,15.9,-9.9,4.7,15.8,4.0
Донецьк,2010,4,9.6,20.4,0.7,3.5,24.7,0.0
Донецьк,2010,5,17.2,27.1,8.0,3.2,91.6,0.0
