City,Year,Month,Average Temperature,Max Temperature,Min Temperature,Average Wind Speed,Total Precipitation,Max Snow Depth
Керч,2010,12,+6.1 °,+16.5°,-4°,4.6 м/с,79 мм,1 см
Київ,2010,2,+0.2 °,+3.6°,-2.6°,2.5 м/с,0.1 мм,29 см
Київ,2010,3,+1.5 °,+15.2°,-9.6°,2.8 м/с,20.5 мм,32 см
Київ,2010,4,+10.3 °,+21.4°,+1.3°,2.3 м/с,40.3 мм,-
Київ,2010,5,+17.3 °,+26.8°,+8.2°,2.1 м/с,54.3 мм,-
Київ,2010,6,+22 °,+33.2°,+12°,2.4 м/с,26 мм,-
Київ,2010,7,+24.5 °,+34.1°,+16°,1.8 м/с,100.5 мм,-
Київ,2010,8,+24.6 °,+37.9°,+10°,2.1 м/с,24.9 мм,-
Київ,2010,9,+14.9 °,+25.6°,+6.7°,1.7 м/с,50.6 мм,-
Київ,2010,10,+6.2 °,+13°,-1.2°,2.2 м/с,44.9 мм,-
Київ,2010,11,+7.9 °,+21.2°,-9.8°,2.9 м/с,71.8 мм,4 см
Київ,2010,12,-4.1 °,+6.2°,-14.2°,2.5 м/с,57.3 мм,15 см
Кропивницький,2010,2,-0.8 °,+2.9°,-3.6°,4.6 м/с,0.001 мм,14 см
Кропивницький,2010,3,+0.4 °,+16.2°,-16.9°,3.9 м/с,26.8 мм,25 см
Кропивницький,2010,4,+9.6 °,+19°,+0.4°,3.4 м/с,11.4 мм,-
Кропивницький,2010,5,+17 °,+26.6°,+6.4°,3.3 м/с,41.5 мм,-
Кропивницький,2010,6,+21.6 °,+34°,+8.5°,3.5 м/с,36.9 мм,-
Кропивницький,2010,7,+23.8 °,+34.5°,+13.1°,2.7 м/с,146.4 мм,-
Кропивницький,2010,8,+24.8 °,+38.3°,+9.1°,3.5 м/с,8 мм,-
Кропивницький,2010,9,+15.5 °,+27.4°,+4.8°,3.6 м/с,85.3 мм,-
Кропивницький,2010,10,+6.2 °,+18.6°,-3.1°,3.7 м/с,41.6 мм,-
Кропивницький,2010,11,+8.9 °,+19.8°,-5.8°,4.6 м/с,31.7 мм,-
Кропивницький,2010,12,-2.4 °,+10.6°,-17°,4.4 м/с,48.8 мм,11 см
Конотоп,2010,2,-0.6 °,+3.8°,-3.1°,2.5 м/с,0 мм,44 см
Конотоп,2010,3,-0.7 °,+14.3°,-16.1°,2.3 м/с,14.7 мм,44 см
Конотоп,2010,4,+9.7 °,+18.7°,-0.1°,2 м/с,24.2 мм,-
Конотоп,2010,5,+17.8 °,+27.2°,+6.7°,1.9 м/с,60.1 мм,-
Конотоп,2010,6,+21.7 °,+33.3°,+8.4°,2.3 м/с,70.8 мм,-
Конотоп,2010,7,+24.8 °,+34.7°,+15.4°,1.6 м/с,78.5 мм,-
Конотоп,2010,8,+23.8 °,+38.3°,+8.5°,1.6 м/с,19.4 мм,-
Конотоп,2010,9,+14.1 °,+26.2°,+3.4°,1.8 м/с,56.3 мм,-
Конотоп,2010,10,+5.3 °,+14°,-4.6°,2 м/с,28.3 мм,-
Конотоп,2010,11,+6.9 °,+17.5°,-14.6°,2.6 м/с,71.4 мм,10 см
Конотоп,2010,12,-4.2 °,+7.5°,-19.6°,2.4 м/с,79.5 мм,16 см
Кривий Ріг,2010,2,-0.6 °,+2.8°,-2.6°,4.5 м/с,0 мм,18 см
Кривий Ріг,2010,3,+1.5 °,+17.1°,-13°,4.3 м/с,13.3 мм,15 см
Кривий Ріг,2010,4,+10.3 °,+19.7°,+0.2°,3.8 м/с,7.9 мм,-
Кривий Ріг,2010,5,+17.5 °,+28°,+9°,3.5 м/с,75 мм,-
Кривий Ріг,2010,6,+22.2 °,+33.6°,+10.6°,3.7 м/с,38.6 мм,-
Кривий Ріг,2010,7,+24.1 °,+34.1°,+15.5°,2.9 м/с,82.8 мм,-
Кривий Ріг,2010,8,+25.6 °,+39.3°,+11.1°,3.9 м/с,24 мм,-
Кривий Ріг,2010,9,+16.3 °,+28°,+6.7°,4 м/с,71.9 мм,-
Кривий Ріг,2010,10,+6.5 °,+19.1°,-3.3°,4.2 м/с,55.5 мм,-
Кривий Ріг,2010,11,+9.2 °,+21.6°,-4.3°,4.6 м/с,35.2 мм,-
Кривий Ріг,2010,12,-0.8 °,+11.9°,-15.6°,4.7 м/с,46.8 мм,9 см
Лубни,2010,2,-0.5 °,+3.3°,-2.8°,2.2 м/с,0.2 мм,33 см
Лубни,2010,3,+0.1 °,+15.1°,-10.5°,1.8 м/с,30.2 мм,42 см
Лубни,2010,4,+10.2 °,+18.3°,+0.8°,1.8 м/с,8.6 мм,-
Лубни,2010,5,+17.3 °,+26.9°,+7.6°,1.6 м/с,56.1 мм,-
Лубни,2010,6,+22.1 °,+33.7°,+9.6°,1.8 м/с,20.7 мм,-
Лубни,2010,7,+25 °,+35.6°,+16.7°,1.2 м/с,51 мм,-
Лубни,2010,8,+25 °,+38.7°,+10.5°,1.6 м/с,6.4 мм,-
Лубни,2010,9,+15 °,+26.3°,+5°,1.5 м/с,93.7 мм,-
Лубни,2010,10,+5.8 °,+14.5°,-2.7°,1.7 м/с,45.7 мм,-
Лубни,2010,11,+8 °,+18.8°,-9.8°,2.5 м/с,66.9 мм,4 см
Лубни,2010,12,-3.3 °,+9.3°,-16.9°,2.2 м/с,89.4 мм,14 см
Львів,2010,2,+2.1 °,+7.4°,-0.9°,2.4 м/с,2.6 мм,10 см
Львів,2010,3,+3 °,+17.7°,-12.3°,3 м/с,31.1 мм,9 см
Львів,2010,4,+9.2 °,+22.6°,-1°,2.3 м/с,39.7 мм,-
Львів,2010,5,+14.7 °,+23.3°,+7.1°,2 м/с,221.8 мм,-
Львів,2010,6,+17.9 °,+31.7°,+7.1°,2.4 м/с,96.9 мм,-
Львів,2010,7,+20.5 °,+30.7°,+11.2°,1.7 м/с,78.3 мм,-
Львів,2010,8,+19.7 °,+32.1°,+6.5°,1.7 м/с,125.1 мм,-
Львів,2010,9,+12.3 °,+21.5°,+3.4°,2.3 м/с,65 мм,-
Львів,2010,10,+5.5 °,+16.9°,-4.4°,2.3 м/с,26.1 мм,-
Львів,2010,11,+7 °,+20.6°,-10.6°,2.9 м/с,41.9 мм,2 см
Львів,2010,12,-3.7 °,+10°,-16.8°,2.6 м/с,94.3 мм,15 см
Любашівка,2010,2,+0.5 °,+6.3°,-2.7°,2.4 м/с,0.001 мм,6 см
Любашівка,2010,3,+2 °,+18.1°,-13.7°,2.7 м/с,29.9 мм,20 см
Любашівка,2010,4,+9.7 °,+20.1°,+1.2°,3 м/с,50.9 мм,-
Любашівка,2010,5,+16.8 °,+25.3°,+8°,2.9 м/с,110.7 мм,-
Любашівка,2010,6,+20.5 °,+33°,+11.1°,2.5 м/с,82.8 мм,-
Любашівка,2010,7,+23.2 °,+33°,+14.2°,2.2 м/с,32.5 мм,-
Любашівка,2010,8,+24.5 °,+36.4°,+9.8°,2.7 м/с,30 мм,-
Любашівка,2010,9,+15.8 °,+98.4°,+6.4°,2.7 м/с,49.2 мм,-
Любашівка,2010,10,+6.8 °,+16°,-2.8°,2.8 м/с,44.1 мм,-
Любашівка,2010,11,+9.4 °,+20.8°,-5.1°,3.2 м/с,35.5 мм,-
Любашівка,2010,12,-2.9 °,+11.2°,-13.7°,3.3 м/с,67.3 мм,22 см
Маріуполь,2010,2,+0.4 °,+3.4°,-1.8°,7.8 м/с,0 мм,-
Маріуполь,2010,3,+2.2 °,+13°,-6.2°,4.7 м/с,22.6 мм,8 см
Маріуполь,2010,4,+10 °,+17.4°,+2.4°,4 м/с,8.5 мм,-
Маріуполь,2010,5,+17.8 °,+24.4°,+10.4°,3.8 м/с,38.6 мм,-
Маріуполь,2010,6,+23.3 °,+32.2°,+15.2°,4.6 м/с,29.5 мм,-
Маріуполь,2010,7,+25.6 °,+35.2°,+18.2°,3.5 м/с,66.8 мм,-
Маріуполь,2010,8,+27.1 °,+36.4°,+10.5°,4.1 м/с,0 мм,-
Маріуполь,2010,9,+18.4 °,+28.2°,+6.8°,4.8 м/с,42.5 мм,-
Маріуполь,2010,10,+7.9 °,+16.6°,-0.6°,4.9 м/с,51 мм,-
Маріуполь,2010,11,+9.1 °,+17.5°,+0.7°,4.3 м/с,53.5 мм,-
Маріуполь,2010,12,+1.6 °,+10.3°,-7.7°,4.3 м/с,74.7 мм,7 см
Миронівка,2010,2,+0.4 °,+5.5°,-3°,2.3 м/с,0 мм,23 см
Миронівка,2010,3,+0.7 °,+16.1°,-15°,2.7 м/с,22.3 мм,25 см
Миронівка,2010,4,+9.9 °,+20°,+0.4°,2.5 м/с,22.1 мм,-
Миронівка,2010,5,+17 °,+25.8°,+7.3°,2.2 м/с,72.7 мм,-
Миронівка,2010,6,+21.6 °,+32.3°,+10°,2.2 м/с,62.1 мм,-
Миронівка,2010,7,+23.8 °,+35°,+14.1°,1.7 м/с,51.1 мм,-
Миронівка,2010,8,+24.3 °,+38.5°,+10°,2 м/с,13.4 мм,-
Миронівка,2010,9,+15.1 °,+27.5°,+5.6°,2.2 м/с,32.5 мм,-
Миронівка,2010,10,+6.1 °,+15.6°,-3°,2.3 м/с,28.4 мм,-
Миронівка,2010,11,+8.7 °,+19.9°,-8°,3.2 м/с,62 мм,8 см
Миронівка,2010,12,-3.7 °,+9.1°,-15.2°,2.8 м/с,73.8 мм,15 см
Могилів-Подільський,2010,2,+3.5 °,+9.3°,+0°,1.8 м/с,0.3 мм,1 см
Могилів-Подільський,2010,3,+3.7 °,+21.3°,-11°,1.5 м/с,8.2 мм,2 см
Могилів-Подільський,2010,4,+10.8 °,+23.4°,-1.4°,1.4 м/с,38.8 мм,-
Могилів-Подільський,2010,5,+17.4 °,+26.9°,+6.7°,1.4 м/с,69.4 мм,-
Могилів-Подільський,2010,6,+20.5 °,+34°,+7°,1.2 м/с,109.2 мм,-
Могилів-Подільський,2010,7,+23.1 °,+33.5°,+12.8°,0.8 м/с,76.7 мм,-
Могилів-Подільський,2010,8,+23.2 °,+37°,+7.2°,0.9 м/с,53.4 мм,-
Могилів-Подільський,2010,9,+14.6 °,+26.7°,+5.8°,1 м/с,83.4 мм,-
Могилів-Подільський,2010,10,+6.9 °,97.8°,-4.1°,1.1 м/с,50.7 мм,-
Могилів-Подільський,2010,11,+8.9 °,+22.6°,-6.4°,1.3 м/с,51.2 мм,-
Могилів-Подільський,2010,12,-3.3 °,+9.5°,-15.1°,1.1 м/с,66.4 мм,16 см
Одеса,2010,2,+1.6 °,+5.3°,-1.1°,3.9 м/с,0 мм,-
Одеса,2010,3,+3.9 °,+19.8°,-5.1°,3.1 м/с,18.5 мм,8 см
Одеса,2010,4,+10.3 °,+17.6°,+4.2°,2.8 м/с,49 мм,-
Одеса,2010,5,+16.7 °,+24.2°,+10.1°,2.4 м/с,69.6 мм,-
Одеса,2010,6,+22 °,+30.2°,+14.6°,2.4 м/с,49.1 мм,-
Одеса,2010,7,+24.4 °,+32.2°,+17.9°,1.9 м/с,54.2 мм,-
Одеса,2010,8,+26 °,+36.8°,+11.6°,2.2 м/с,35.4 мм,-
Одеса,2010,9,+17.9 °,+25.3°,+10.8°,3.1 м/с,106.1 мм,-
Одеса,2010,10,+9.7 °,+17.6°,+0.5°,3.8 м/с,81.3 мм,-
Одеса,2010,11,+11.9 °,+22.1°,+1.4°,3.1 м/с,30.1 мм,-
Одеса,2010,12,+1.5 °,+12.2°,-9°,3.3 м/с,57.1 мм,11 см
Полтава,2010,2,-0.8 °,+3.2°,-4.9°,2.7 м/с,0.001 мм,34 см
Полтава,2010,3,+0.4 °,+15°,-10.1°,2.9 м/с,23.4 мм,42 см
Полтава,2010,4,+10.5 °,+19.6°,+1.2°,2.7 м/с,12.8 мм,-
Полтава,2010,5,+17.7 °,+28.6°,+9°,2.5 м/с,52.5 мм,-
Полтава,2010,6,+22.2 °,+33.8°,+11.2°,2.6 м/с,83.3 мм,-
Полтава,2010,7,+24.8 °,+35.6°,+15.5°,2.1 м/с,64 мм,-
Полтава,2010,8,+25.6 °,+38.7°,+10.4°,2.6 м/с,10 мм,-
Полтава,2010,9,+15.4 °,+26.8°,+5.8°,2.8 м/с,83.8 мм,-
Полтава,2010,10,+5.6 °,+14°,-2.8°,3 м/с,56.1 мм,-
Полтава,2010,11,+8.3 °,+18.8°,-7.4°,3.2 м/с,43.2 мм,0.7 см
Полтава,2010,12,-2.3 °,+10.7°,-12.1°,3.3 м/с,83.3 мм,6 см
Рівне,2010,2,+1.3 °,+3.8°,+0°,3.5 м/с,0 мм,11 см
Рівне,2010,3,+1.8 °,+17.8°,-11.3°,4 м/с,34.8 мм,12 см
Рівне,2010,4,+9.2 °,+23°,-0.4°,3.8 м/с,33.5 мм,-
Рівне,2010,5,+16 °,+25.3°,+6.1°,3.5 м/с,109.9 мм,-
Рівне,2010,6,+19 °,+31.7°,+8.6°,3.5 м/с,155.8 мм,-
Рівне,2010,7,+22 °,+33.4°,+12.5°,2.7 м/с,103.4 мм,-
Рівне,2010,8,+20.7 °,+33.7°,+6.5°,3.1 м/с,105.2 мм,-
Рівне,2010,9,+12.6 °,+24.5°,+3.1°,3.2 м/с,64.5 мм,-
Рівне,2010,10,+4.9 °,+14.5°,-3.9°,3.6 м/с,36.3 мм,-
Рівне,2010,11,+6.3 °,+19.1°,-13°,4.7 м/с,40.2 мм,10 см
Рівне,2010,12,-4.7 °,+5.2°,-15.6°,4.2 м/с,74.6 мм,11 см
Сарни,2010,2,+1.9 °,+4.6°,+0.1°,1.3 м/с,1.1 мм,12 см
Сарни,2010,3,+2.4 °,+17.6°,-8.8°,1.6 м/с,19 мм,4 см
Сарни,2010,4,+9.5 °,+23.8°,+0.4°,1.2 м/с,14.9 мм,-
Сарни,2010,5,+16.2 °,+26.7°,+3.4°,1.3 м/с,74.3 мм,-
Сарни,2010,6,+19.5 °,+32.9°,+5.8°,1.3 м/с,81.2 мм,-
Сарни,2010,7,+22.3 °,+33.9°,+12.7°,0.8 м/с,76.9 мм,-
Сарни,2010,8,+20.9 °,+34.5°,+7.2°,1 м/с,115.3 мм,-
Сарни,2010,9,+12.9 °,+24.6°,+1.8°,1 м/с,96.8 мм,-
Сарни,2010,10,+5.4 °,+16.2°,-4.1°,1.1 м/с,24.1 мм,-
Сарни,2010,11,+6.1 °,+18.9°,-12.2°,1.5 м/с,65.3 мм,13 см
Сарни,2010,12,-4.5 °,+5.5°,-19°,1.3 м/с,68.5 мм,18 см
Світловодськ,2010,2,+0.3 °,+4.7°,-2.2°,2.5 м/с,0.001 мм,14 см
Світловодськ,2010,3,+1.1 °,+18°,-13.5°,2.4 м/с,22.2 мм,20 см
Світловодськ,2010,4,+10.1 °,+20°,+1.7°,1.9 м/с,7.6 мм,-
Світловодськ,2010,5,+18 °,+27.9°,+9.7°,1.9 м/с,34.2 мм,-
Світловодськ,2010,6,+22.9 °,+35°,+13.2°,2.3 м/с,59.9 мм,-
Світловодськ,2010,7,+25.3 °,+34.9°,+17.8°,1.7 м/с,72.6 мм,-
Світловодськ,2010,8,+26 °,+39.6°,+10.8°,2.3 м/с,6.8 мм,-
Світловодськ,2010,9,+16.3 °,+28.2°,+5.7°,2.3 м/с,82.4 мм,-
Світловодськ,2010,10,+7.3 °,+18.6°,-1.7°,2.6 м/с,113.4 мм,-
Світловодськ,2010,11,+9.5 °,+20.3°,-4.8°,3 м/с,47.5 мм,-
Світловодськ,2010,12,-1.1 °,+12.2°,-13.4°,3.1 м/с,45 мм,10 см
Сімферополь,2010,2,+4.2 °,+13.3°,-1.3°,6.6 м/с,1.5 мм,-
Сімферополь,2010,3,+4.6 °,+18.3°,-6.2°,5.2 м/с,35.4 мм,4 см
Сімферополь,2010,4,+9.8 °,+24.4°,+0°,4.7 м/с,13.8 мм,-
Сімферополь,2010,5,+16.3 °,+27.5°,+6.3°,4 м/с,16.5 мм,-
Сімферополь,2010,6,+21.9 °,+33.8°,+13°,4.1 м/с,101.4 мм,-
Сімферополь,2010,7,+23.9 °,+36.2°,+16.7°,3.6 м/с,98.3 мм,-
Сімферополь,2010,8,+25.8 °,+38.8°,+11.7°,4 м/с,2.1 мм,-
Сімферополь,2010,9,+18.6 °,+29°,+9.2°,4.6 м/с,21.5 мм,-
Сімферополь,2010,10,+9.1 °,+24.1°,-1°,4.6 м/с,87 мм,-
Сімферополь,2010,11,+12.3 °,+26.8°,+1.4°,4 м/с,34.9 мм,-
Сімферополь,2010,12,+5.4 °,+20.5°,-4.2°,4.7 м/с,70.2 мм,8 см
Суми,2010,2,-1.2 °,+3.3°,-3.6°,4.4 м/с,0 мм,49 см
Суми,2010,3,-1.3 °,+15.2°,-14.9°,3.6 м/с,12.1 мм,54 см
Суми,2010,4,+9.4 °,+18.7°,-0.6°,3.4 м/с,23.6 мм,1 см
Суми,2010,5,+17.2 °,+26.8°,+7.2°,3.3 м/с,43.6 мм,-
Суми,2010,6,+21.5 °,+33.4°,+7.9°,3.6 м/с,13 мм,-
Суми,2010,7,+24.8 °,+35.6°,+16.5°,2.5 м/с,106.1 мм,-
Суми,2010,8,+24.2 °,+38.7°,+7.3°,3.2 м/с,32.7 мм,-
Суми,2010,9,+14.1 °,+27.9°,+3.2°,3.1 м/с,69.1 мм,-
Суми,2010,10,+4.8 °,+12.4°,-3°,3.6 м/с,42.6 мм,-
Суми,2010,11,+6.6 °,+17.5°,-12.6°,4.3 м/с,56.8 мм,7 см
Суми,2010,12,-3.7 °,+9.6°,-18.1°,4.1 м/с,81.6 мм,10 см
Тернопіль,2010,2,+1.1 °,+2.9°,+0°,3.9 м/с,0.9 мм,12 см
Тернопіль,2010,3,+1.8 °,+16.4°,-14.2°,4.4 м/с,27.4 мм,5 см
Тернопіль,2010,4,+9 °,+22.6°,-2°,4.1 м/с,40.3 мм,-
Тернопіль,2010,5,+15.3 °,+23.9°,+6.6°,3.9 м/с,115.1 мм,-
Тернопіль,2010,6,+18.1 °,+30.7°,+7.6°,4 м/с,144.6 мм,-
Тернопіль,2010,7,+20.9 °,+31.4°,+11.6°,3.1 м/с,108.7 мм,-
Тернопіль,2010,8,+20.4 °,+33.3°,+6.2°,2.9 м/с,82 мм,-
Тернопіль,2010,9,+12.3 °,+22.6°,+3.8°,3.6 м/с,77.8 мм,-
Тернопіль,2010,10,+4.9 °,+13.8°,-5.2°,3.6 м/с,35.8 мм,-
Тернопіль,2010,11,+6.4 °,+19.8°,-10.6°,3.8 м/с,29.1 мм,3 см
Тернопіль,2010,12,-5 °,+4.4°,-14.4°,3.6 м/с,60.3 мм,9 см
Ужгород,2010,2,+6.2 °,+9.6°,+2.3°,2.1 м/с,2.8 мм,-
Ужгород,2010,3,+5.4 °,+20.5°,-8.6°,2.4 м/с,31.9 мм,11 см
Ужгород,2010,4,+11.1 °,+22.7°,+2.8°,2.2 м/с,73.2 мм,-
Ужгород,2010,5,+15.9 °,+25.1°,+8.7°,2.3 м/с,169.2 мм,-
Ужгород,2010,6,+19.3 °,+32.6°,+7.6°,2.6 м/с,131.6 мм,-
Ужгород,2010,7,+21.9 °,+32.3°,+11°,1.9 м/с,109 мм,-
Ужгород,2010,8,+21 °,+32.7°,+10.3°,1.7 м/с,104.2 мм,-
Ужгород,2010,9,+14.1 °,+24.2°,+6°,1.9 м/с,88.1 мм,-
Ужгород,2010,10,+7.2 °,+19.4°,-3.9°,1.5 м/с,24.8 мм,-
Ужгород,2010,11,+8.4 °,+18.8°,-5.3°,2.4 м/с,82.2 мм,3 см
Ужгород,2010,12,-0.8 °,+11.9°,-12.3°,2.5 м/с,97.5 мм,11 см
